npi,customer_id,clinic_id,emr_vendor
,502816,22106,FOLLOWTHATPATIENT
,523148,22106,FOLLOWTHATPATIENT
1053023598,46803,149839,FOLLOWTHATPATIENT
1063612737,43263,22106,FOLLOWTHATPATIENT
1073000691,43262,2930,FOLLOWTHATPATIENT
1073000691,43262,8003,FOLLOWTHATPATIENT
1073000691,43262,36290,FOLLOWTHATPATIENT
1073000691,43262,144510,FOLLOWTHATPATIENT
1205409018,25904,27533,FOLLOWTHATPATIENT
1245828383,47629,149877,FOLLOWTHATPATIENT
1285873703,46535,150053,FOLLOWTHATPATIENT
1316357635,44149,142676,FOLLOWTHATPATIENT
1326472150,48085,148164,FOLLOWTHATPATIENT
1366420523,26232,2930,FOLLOWTHATPATIENT
1366420523,26308,8003,FOLLOWTHATPATIENT
1366420523,25899,36290,FOLLOWTHATPATIENT
1407818461,40660,144510,FOLLOWTHATPATIENT
1427713254,38677,142676,FOLLOWTHATPATIENT
1447027610,46454,149982,FOLLOWTHATPATIENT
1518618008,34657,139948,FOLLOWTHATPATIENT
1649332586,51471,152014,FOLLOWTHATPATIENT
1740954643,45492,149122,FOLLOWTHATPATIENT
1750446159,2797,2930,FOLLOWTHATPATIENT
1750446159,6263,8003,FOLLOWTHATPATIENT
1750446159,30528,22106,FOLLOWTHATPATIENT
1750446159,19472,36290,FOLLOWTHATPATIENT
1770323669,40292,144164,FOLLOWTHATPATIENT
1790443497,44493,148164,FOLLOWTHATPATIENT
1871826883,51154,154338,FOLLOWTHATPATIENT
1891996062,39800,143714,FOLLOWTHATPATIENT
1902554140,47714,145373,FOLLOWTHATPATIENT
1902554140,48127,151504,FOLLOWTHATPATIENT
